artist,track,msPlayed
Brad Mehldau,Golden Slumbers,8222
Brad Mehldau,I Am The Walrus,254573
Brad Mehldau,I Saw Her Standing There,234133
Brad Mehldau,John Boy,195480
Brad Mehldau,Paranoid Android I,101386
Brad Mehldau,Song-Song,390866
Brad Mehldau,Your Mother Should Know,138213
Brad Paisley,Drive of Shame (feat. Mick Jagger),273680
Brand X,Collapsar,3424
Brand X,Nuclear Burn,8080
Brian Eno,2/2 - Remastered 2004,578466
Brian Eno,An Ending (Ascent) - Remastered 2005,266200
Brian Eno,Another Green World - 2004 Remaster,101706
Brian Eno,By This River - 2004 Digital Remaster,34638
Brian Eno,Come With Us,162600
Brian Eno,Deep Blue Day - Remastered 2005,238773
Brian Eno,Emerald and Stone,132306
Brian Eno,Fullness Of Wind (Variation On 'The Canon In D Major' By Johann Pachelbel) - Remastered 2004,26033
Brian Eno,Kurt's Rejoinder - 2004 Digital Remaster,33025
Brian Eno,Moonlight In Glory,99128
Brian Eno,Sombre Reptiles - 2004 Remaster,141040
Brian Eno,The Carrier,215773
Brian Eno,Tzima N'arki,272773
Brian Eno,Very Very Hungry - 2006 Digital Remaster,201160
Bruce Cockburn,Foxglove,87200
Bryan Ferry,Casanova,9404
Buckingham Nicks,Django/Sorcerer,58549
Buckingham Nicks,Long Distance Winner,64691
Buckingham Nicks,Rhiannon,63631
Bud Powell Trio,Off Minor - 1990 Remaster,143733
Buddy Guy,Mustang Sally (feat. Jeff Beck),283266
Buddy Guy,You Did The Crime (feat. Mick Jagger),413426
Buddy Miles,Down By The River,58320
Buddy Miles,Them Changes,199933
Buddy Miller,Worry Too Much,953
Buddy Rich,Birdland,16735
Buddy Rich Big Band,"The Beat Goes On - Live At Chez Club, Hollywood/1966/Remix",2338
Buena Vista Social Club,Bodas de Oro (feat. Rubén González & Jesús Ramos),45928
Buena Vista Social Club,Chan Chan,258693
Buena Vista Social Club,De Camino a la Vereda,303973
Buena Vista Social Club,Dos Gardenias,18768
Buena Vista Social Club,El Cuarto de Tula,445426
Buena Vista Social Club,Orgullecida,1340
Buena Vista Social Club,Pueblo Nuevo,366706
Buffalo Springfield,A Child's Claim to Fame,1136
Buffalo Springfield,Bluebird,275760
Buffalo Springfield,Do I Have to Come Right out and Say It,7978
Buffalo Springfield,Down Down Down - Demo,1822
Buffalo Springfield,Everydays - Live,162906
Buffalo Springfield,Flying on the Ground Is Wrong,163160
Buffalo Springfield,For What It's Worth,153693
Buffalo Springfield,Hot Dusty Roads,171733
Buffalo Springfield,I Am a Child,142440
Buffalo Springfield,Mr. Soul,172400
Buffalo Springfield,On the Way Home,113562
Buffalo Springfield,Pretty Girl Why,147333
Buffalo Springfield,Questions,177866
