artist,track,msPlayed,track_id,flag
Arti & Mestieri,Farenheit,2470,3WrldRGP1HdszirIj4qva6,1
Arti & Mestieri,Nove luna prima,53506,2jj7FHgoe1irzFVEIIEYol,1
Arti & Mestieri,Valzer per domani,136306,5CDEMAU2oX1bN0BQPHfUjR,4
Arvo Pärt,Fratres,688413,1gRJOkMPSNUddnnfb0g2fF,10
Arvo Pärt,Für Alina,2195,2Lio4KTzsA8BPLhXmyo4CQ,10
Arvo Pärt,Spiegel im Spiegel - Version for Violin and Piano,14067,4wudbbceOZKjRlhTtbHvAs,10
Arzachel,Azathoth,260946,1Ojm2GBtvpAcetYXlN0Ar5,2
Arzachel,Clean Innocent Fun,45968,5aalLms8w5ZRuQBA2twli8,2
Arzachel,Garden Of Earthly Delights,167200,5SLHRzDn2mDiVxBbx9uYqq,2
Arzachel,Queen St. Gang,265920,03d5V0uvYp3hU7wE9mJzJa,1
Ashra,77 Slightly Delayed,19418,1TmlYsvU6XoXn0Bs6p5CNC,1
Ashra,Midnight On Mars,416026,5rVFG1UpzRO70YGdu634cK,1
Ashra,Ocean Of Tenderness,17547,7K390g1jaEEG634ILDD4mW,1
Aster Aweke,Wolela,86023,7wvC2Cwarq4XEcJdFflxY9,1
Astrud Gilberto,Summer Samba (So Nice),161533,0gSgUkFCEkXXFHOnpDnHeO,10
Axiom Of Choice,Pulse,58346,7CiWRG98fi8NAp7tn9NkjA,1
Aziz Sahmaoui,Absence,154964,58Wovmi0l0tWzIU8x8zHnx,1
Aziz Sahmaoui,Ana Hayou,271563,5XvjHR4rEsSR2vWqUt43dA,3
Aziz Sahmaoui,Coquelicots,8876,5o3VVmNxXKsHTVzAjjIVK4,1
Aziz Sahmaoui,Maktoube - Long Version,17520,4Gap9e2QWafQt3ar65vBvx,2
Aziz Sahmaoui,Maktoube - Short Version,183814,0GzLdW6dJQALSFIvq4JvYq,2
Aziz Sahmaoui,Mazal,273624,0cpZCJINaQ276crPB1hPgI,2
Aziz Sahmaoui,Salabati,297807,7MuU1uUkUyLlTDZK078MSb,2
Aziza Brahim,Baraka,231640,1aCV7ocnKXsLSb0oX2dmup,1
Aziza Brahim,Intifada,16257,3XVoJqjijmRPXm5xRI2Mxx,1
Azymuth,Morning,10981,7dEvUHcPU9jCXeYkKnHGKi,7
B.B. King,Hummingbird,278640,1hdrdqP1bcqgaeydimOOkx,10
B.B. King,Paying The Cost To Be The Boss,213560,1HK0gVdcEwTUaJzCTNhjA3,10
B.B. King,The Thrill Is Gone,99164,4NQfrmGs9iQXVQI9IpRhjM,10
BAP,Verdamp lang her,241,1ZVu91RygA1YUOBliPoJcU,10
BLO,Chant To Mother Earth,16294,29hGEpz5e8binaL8xQT1EI,4
Babe Rainbow,Peace Blossom Boogy,32533,742oWlfJlZRsX6SA2QLRtD,4
Babylone,Hayem,238419,47vg19sTgCO84gbEyly6cQ,1
Bachman-Turner Overdrive,Free Wheelin,224893,1PXG5cwmM74RnNMhL2F8Zv,6
Bad Company,Burnin' Sky - 2017 Remaster,310866,7rNo0ijkYkSkVbi1LL4aO5,3
